Date,Price
01/01/2025,264936.00
01/02/2025,264909.00
01/03/2025,268508.00
01/04/2025,261258.00
01/05/2025,264782.00
01/06/2025,267985.00
01/07/2025,270432.00
01/08/2025,271808.00
01/09/2025,270827.00
01/10/2025,270548.00
01/11/2025,272043.00
01/12/2025,270259.00
